SNR,window,p,MD,FAR,MI
0.0,10,0.4,0.0008,0.95621,0.49112
0.0,10,0.5,0.0006,0.95301,0.49186
0.0,20,0.4,0.0013,0.80423,0.50825
0.0,20,0.5,0.00086,0.81419,0.50824
0.0,30,0.4,0.0007,0.58288,0.53321
0.0,30,0.5,0.0008,0.62692,0.53033
0.0,40,0.4,0.00136,0.36202,0.5581
0.0,40,0.5,0.00238,0.35828,0.56203
0.0,50,0.4,0.00098,0.22356,0.57371
0.0,50,0.5,0.00038,0.33203,0.56512
0.0,60,0.4,0.0019,0.11948,0.58545
0.0,60,0.5,0.0008,0.19491,0.5813
0.0,70,0.4,0.00066,0.11926,0.58547
0.0,70,0.5,0.00096,0.14164,0.58759
0.0,80,0.4,0.00094,0.09074,0.58869
0.0,80,0.5,0.00108,0.09367,0.59325
0.0,90,0.4,0.00058,0.08876,0.58891
0.0,90,0.5,0.00098,0.10451,0.59197
0.0,100,0.4,0.00174,0.05725,0.59246
0.0,100,0.5,0.0011,0.07587,0.59535
5.0,10,0.5,0.00156,0.67692,0.87929
5.0,20,0.5,0.00098,0.11232,0.91204
5.0,30,0.5,0.00162,0.00366,0.91834
5.0,40,0.5,0.00088,4e-05,0.91855
5.0,50,0.5,0.00094,2e-05,0.91855
5.0,60,0.5,0.00122,0.0,0.91855
5.0,70,0.5,0.00112,0.0,0.91855
5.0,80,0.5,0.00072,0.0,0.91855
5.0,90,0.5,0.00062,0.0,0.91855
5.0,100,0.5,0.0005,0.0,0.91855
10.0,10,0.5,0.00082,0.28191,0.99788
10.0,20,0.5,0.00142,0.0,0.99834
10.0,30,0.5,0.001,0.0,0.99834
10.0,40,0.5,0.00046,0.0,0.99834
10.0,50,0.5,0.00138,0.0,0.99834
10.0,60,0.5,0.00136,0.0,0.99834
10.0,70,0.5,0.00102,0.0,0.99834
10.0,80,0.5,0.00068,0.0,0.99834
10.0,90,0.5,0.00066,0.0,0.99834
10.0,100,0.5,0.00072,0.0,0.99834
15.0,10,0.5,0.001,0.00084,0.99999
15.0,20,0.5,0.0012,0.0,0.99999
15.0,30,0.5,0.00074,0.0,0.99999
15.0,40,0.5,0.00192,0.0,0.99999
15.0,50,0.5,0.00162,0.0,0.99999
15.0,60,0.5,0.00138,0.0,0.99999
15.0,70,0.5,0.00138,0.0,0.99999
15.0,80,0.5,0.00104,0.0,0.99999
15.0,90,0.5,0.0007,0.0,0.99999
15.0,100,0.5,0.00104,0.0,0.99999
