SNR,window,p,MD,FAR
0,10,0.5,0.0012,0.9863
5,10,0.5,0.0008,0.8917
10,10,0.5,0.0005,0.6513
15,10,0.5,0.0007,0.4654
0,20,0.5,0.0011,0.9706
5,20,0.5,0.0007,0.4068
10,20,0.5,0.0007,0.0083
15,20,0.5,0.0004,0.0057
0,30,0.5,0.001,0.9424
5,30,0.5,0.0011,0.0866
10,30,0.5,0.0015,0.0003
15,30,0.5,0.0008,0.0001
0,40,0.5,0.0014,0.9064
5,40,0.5,0.0002,0.0711
10,40,0.5,0.0005,0.0
15,40,0.5,0.0011,0.0
0,50,0.5,0.0007,0.9071
5,50,0.5,0.0011,0.0069
10,50,0.5,0.0008,0.0
15,50,0.5,0.0005,0.0
0,60,0.5,0.0021,0.8269
5,60,0.5,0.0012,0.0007
10,60,0.5,0.0008,0.0
15,60,0.5,0.0009,0.0
0,70,0.5,0.0015,0.807
5,70,0.5,0.0004,0.0001
10,70,0.5,0.0015,0.0
15,70,0.5,0.0006,0.0
0,80,0.5,0.0006,0.8468
5,80,0.5,0.0004,0.0
10,80,0.5,0.0012,0.0
15,80,0.5,0.0017,0.0
0,90,0.5,0.0007,0.7814
5,90,0.5,0.0009,0.0
10,90,0.5,0.0012,0.0
15,90,0.5,0.0009,0.0
0,100,0.5,0.001,0.779
5,100,0.5,0.0007,0.0
10,100,0.5,0.0006,0.0
15,100,0.5,0.0018,0.0
