SNR,window,p,MR,FAR
0,10,0.5,0.0008,0.8738
5,10,0.5,0.01,0.3681
10,10,0.5,0.003,0.3247
15,10,0.5,0.0023,0.3115
0,20,0.5,0.0071,0.5715
5,20,0.5,0.0007,0.2508
10,20,0.5,0.0,0.2747
15,20,0.5,0.0018,0.0586
0,30,0.5,0.0004,0.6557
5,30,0.5,0.0002,0.1173
10,30,0.5,0.0034,0.0201
15,30,0.5,0.007,0.0101
0,40,0.5,0.0123,0.297
5,40,0.5,0.0009,0.0478
10,40,0.5,0.002,0.0043
15,40,0.5,0.002,0.0036
0,50,0.5,0.0022,0.3637
5,50,0.5,0.0109,0.004
10,50,0.5,0.0025,0.0008
15,50,0.5,0.003,0.0005
0,60,0.5,0.0058,0.1849
5,60,0.5,0.0004,0.0049
10,60,0.5,0.0019,0.0003
15,60,0.5,0.0019,0.0001
0,70,0.5,0.0007,0.2391
5,70,0.5,0.0001,0.0038
10,70,0.5,0.0017,0.0
15,70,0.5,0.0036,0.0
0,80,0.5,0.0023,0.1502
5,80,0.5,0.0012,0.0004
10,80,0.5,0.006,0.0
15,80,0.5,0.0003,0.0
0,90,0.5,0.0035,0.0825
5,90,0.5,0.0015,0.0
10,90,0.5,0.0007,0.0
15,90,0.5,0.0031,0.0
0,100,0.5,0.0002,0.149
5,100,0.5,0.0011,0.0
10,100,0.5,0.0037,0.0
15,100,0.5,0.0123,0.0
