SNR,window,p,MD,FAR
0,10,0.5,0.0013,0.9772
5,10,0.5,0.0009,0.9613
10,10,0.5,0.0002,0.9479
15,10,0.5,0.0012,0.943
0,20,0.5,0.0011,0.93
5,20,0.5,0.0005,0.7809
10,20,0.5,0.0006,0.703
15,20,0.5,0.0012,0.4998
0,30,0.5,0.001,0.8705
5,30,0.5,0.0006,0.5453
10,30,0.5,0.0008,0.177
15,30,0.5,0.001,0.1065
0,40,0.5,0.0012,0.7636
5,40,0.5,0.0011,0.1283
10,40,0.5,0.0003,0.056
15,40,0.5,0.0013,0.018
0,50,0.5,0.0018,0.6295
5,50,0.5,0.0011,0.0269
10,50,0.5,0.0015,0.0008
15,50,0.5,0.0012,0.001
0,60,0.5,0.0013,0.5382
5,60,0.5,0.0006,0.008
10,60,0.5,0.0016,0.0001
15,60,0.5,0.0007,0.0001
0,70,0.5,0.0015,0.3987
5,70,0.5,0.0015,0.0002
10,70,0.5,0.001,0.0
15,70,0.5,0.0008,0.0
0,80,0.5,0.0009,0.3725
5,80,0.5,0.0011,0.0001
10,80,0.5,0.0013,0.0
15,80,0.5,0.0007,0.0
0,90,0.5,0.0014,0.2154
5,90,0.5,0.0014,0.0
10,90,0.5,0.0013,0.0
15,90,0.5,0.0005,0.0
0,100,0.5,0.0002,0.2846
5,100,0.5,0.0003,0.0001
10,100,0.5,0.001,0.0
15,100,0.5,0.0014,0.0
