SNR,window,p,MD,FAR
0.0,10,0.5,0.0006001080194434998,0.953011542077574
0.0,20,0.5,0.0008603269242312079,0.8141893919689482
0.0,30,0.5,0.0008004642692761802,0.6269236156971043
0.0,40,0.5,0.0023818578491223152,0.3582794579772222
0.0,50,0.5,0.0003803727653100038,0.33202538487717964
0.0,60,0.5,0.0008009451152359785,0.19490999379267535
0.0,70,0.5,0.0009613266307504356,0.14163545693056417
0.0,80,0.5,0.0010817091003785982,0.0936679954327838
0.0,90,0.5,0.0009817475105688125,0.10450602071687604
0.0,100,0.5,0.0011021823209955712,0.07587022304162241
5.0,10,0.5,0.0015602808505530996,0.6769218459322678
5.0,20,0.5,0.000980372541565795,0.11232268261939538
5.0,30,0.5,0.0016209401452842648,0.0036621240319385244
5.0,40,0.5,0.0008806869358099317,4.00312243549969e-05
5.0,50,0.5,0.0009409221036615884,2.0019619226842307e-05
5.0,60,0.5,0.001221441300734867,0.0
5.0,70,0.5,0.0011215477358755082,0.0
5.0,80,0.5,0.0007211394002523988,0.0
5.0,90,0.5,0.0006211055679108814,0.0
5.0,100,0.5,0.0005009919640888961,0.0
10.0,10,0.5,0.0008201476265727832,0.2819107439339081
10.0,20,0.5,0.0014205398051259479,0.0
10.0,30,0.5,0.0010005803365952253,0.0
10.0,40,0.5,0.00046035908008246434,0.0
10.0,50,0.5,0.001381353726652119,0.0
10.0,60,0.5,0.0013616066959011633,0.0
10.0,70,0.5,0.0010214095451723379,0.0
10.0,80,0.5,0.0006810761002383766,0.0
10.0,90,0.5,0.0006611768948728737,0.0
10.0,100,0.5,0.0007214284282880103,0.0
15.0,10,0.5,0.001000180032405833,0.0008401512272208998
15.0,20,0.5,0.0012004561733458714,0.0
15.0,30,0.5,0.0007404294490804666,0.0
15.0,40,0.5,0.0019214987690398511,0.0
15.0,50,0.5,0.0016215891573742268,0.0
15.0,60,0.5,0.0013816303237820628,0.0
15.0,70,0.5,0.001381907031703751,0.0
15.0,80,0.5,0.001041645800364576,0.0
15.0,90,0.5,0.000701248221834866,0.0
15.0,100,0.5,0.0010420632853049038,0.0
