SNR,window,p,MD,FAR
5.0,10,0.1,0.0019803564641635496,0.5736632593866896
5.0,20,0.1,0.0008003041155639143,0.05778195714371461
5.0,30,0.1,0.0012807428308418882,0.0012607312241099838
5.0,40,0.1,0.000800624487099938,0.0006404995896799504
5.0,50,0.1,0.001501471442013173,6.0058857680526915e-05
5.0,60,0.1,0.00022025990668989408,0.00010011813940449731
5.0,70,0.1,0.000801105525625363,4.005527628126815e-05
5.0,80,0.1,0.0019631017006870857,0.0
5.0,90,0.1,0.0006411412313918776,0.0
5.0,100,0.1,0.0009218252139235687,0.0
