SNR,window,p,MR,FAR
0,100,0.5,0.0171,0.0161
5,100,0.5,0.0,0.0005
10,100,0.5,0.0,0.0
15,100,0.5,0.0,0.0
0,10,0.5,0.272,0.2723
5,10,0.5,0.1371,0.1483
10,10,0.5,0.0974,0.1122
15,10,0.5,0.1546,0.0746
0,20,0.5,0.1776,0.182
5,20,0.5,0.0672,0.0508
10,20,0.5,0.0216,0.0456
15,20,0.5,0.0194,0.0466
0,30,0.5,0.139,0.1306
5,30,0.5,0.0289,0.0262
10,30,0.5,0.0047,0.016
15,30,0.5,0.0061,0.0096
0,40,0.5,0.0818,0.1009
5,40,0.5,0.0094,0.0135
10,40,0.5,0.0018,0.0049
15,40,0.5,0.0034,0.0048
0,50,0.5,0.0799,0.0641
5,50,0.5,0.0029,0.0085
10,50,0.5,0.0004,0.0024
15,50,0.5,0.0007,0.0012
0,60,0.5,0.0574,0.0476
5,60,0.5,0.0022,0.0037
10,60,0.5,0.0001,0.001
15,60,0.5,0.0004,0.0008
0,70,0.5,0.0357,0.04
5,70,0.5,0.0013,0.0012
10,70,0.5,0.0,0.0003
15,70,0.5,0.0,0.0001
0,80,0.5,0.029,0.0264
5,80,0.5,0.0001,0.0004
10,80,0.5,0.0,0.0002
15,80,0.5,0.0,0.0
0,90,0.5,0.0206,0.0293
5,90,0.5,0.0001,0.0006
10,90,0.5,0.0,0.0
15,90,0.5,0.0,0.0
