SNR,window,p,MD,FAR
0,10,0.5,0.0015,0.9817
5,10,0.5,0.0015,0.9705
10,10,0.5,0.0019,0.9338
15,10,0.5,0.0028,0.9376
0,20,0.5,0.0011,0.947
5,20,0.5,0.0006,0.9009
10,20,0.5,0.0004,0.6713
15,20,0.5,0.0008,0.616
0,30,0.5,0.0008,0.9552
5,30,0.5,0.0014,0.7017
10,30,0.5,0.0014,0.3444
15,30,0.5,0.0006,0.1731
0,40,0.5,0.0009,0.9353
5,40,0.5,0.0013,0.5454
10,40,0.5,0.001,0.0669
15,40,0.5,0.0017,0.0112
0,50,0.5,0.0011,0.8819
5,50,0.5,0.0009,0.3346
10,50,0.5,0.0009,0.0181
15,50,0.5,0.0011,0.0014
0,60,0.5,0.0015,0.8064
5,60,0.5,0.001,0.1892
10,60,0.5,0.0008,0.0025
15,60,0.5,0.0007,0.0002
0,70,0.5,0.0009,0.8208
5,70,0.5,0.0013,0.0928
10,70,0.5,0.0006,0.0009
15,70,0.5,0.0012,0.0
0,80,0.5,0.0012,0.7346
5,80,0.5,0.0006,0.0483
10,80,0.5,0.0008,0.0
15,80,0.5,0.0015,0.0
0,90,0.5,0.0008,0.7059
5,90,0.5,0.0009,0.026
10,90,0.5,0.0008,0.0
15,90,0.5,0.0009,0.0
0,100,0.5,0.0008,0.614
5,100,0.5,0.0008,0.0182
10,100,0.5,0.0021,0.0
15,100,0.5,0.0008,0.0
