SNR,window,p,MD_x,FAR_x
0.0,50,0.5,0.0015,0.3288
0.0,50,0.5,0.0009,0.3222
0.0,50,0.5,0.0014,0.3089
0.0,50,0.5,0.0011,0.3526
0.0,50,0.5,0.0004,0.4104
0.0,50,0.5,0.0012,0.2933
0.0,50,0.5,0.0014,0.4097
0.0,50,0.5,0.0003,0.3298
0.0,50,0.5,0.001,0.2921
0.0,50,0.5,0.0022,0.3585
0.0,50,0.5,0.0007,0.3321
0.0,50,0.5,0.0006,0.3186
0.0,50,0.5,0.0006,0.3524
0.0,50,0.5,0.0008,0.357
0.0,50,0.5,0.0011,0.3724
0.0,50,0.5,0.0009,0.2858
0.0,50,0.5,0.001,0.3579
0.0,50,0.5,0.0008,0.3225
0.0,50,0.5,0.0006,0.3731
0.0,50,0.5,0.0008,0.2927
0.0,50,0.5,0.0007,0.3462
0.0,50,0.5,0.0006,0.3712
0.0,50,0.5,0.0008,0.3424
0.0,50,0.5,0.0016,0.3119
0.0,50,0.5,0.0009,0.4384
0.0,50,0.5,0.0011,0.3756
0.0,50,0.5,0.0011,0.3336
0.0,50,0.5,0.0007,0.3117
0.0,50,0.5,0.0015,0.2626
0.0,50,0.5,0.0009,0.3866
0.0,50,0.5,0.0007,0.3573
0.0,50,0.5,0.0013,0.3665
0.0,50,0.5,0.0007,0.3606
0.0,50,0.5,0.0008,0.3857
0.0,50,0.5,0.0013,0.3104
0.0,50,0.5,0.0009,0.331
0.0,50,0.5,0.0009,0.2679
0.0,50,0.5,0.0013,0.3474
0.0,50,0.5,0.001,0.294
0.0,50,0.5,0.0009,0.4002
0.0,50,0.5,0.0013,0.3076
0.0,50,0.5,0.0009,0.3378
0.0,50,0.5,0.0009,0.3179
0.0,50,0.5,0.0006,0.2877
0.0,50,0.5,0.001,0.2939
0.0,50,0.5,0.0013,0.3499
0.0,50,0.5,0.0006,0.3558
0.0,50,0.5,0.0007,0.3768
0.0,50,0.5,0.0009,0.3135
0.0,50,0.5,0.0009,0.4
0.0,50,0.5,0.0004,0.2857
0.0,50,0.5,0.0007,0.3586
0.0,50,0.5,0.0009,0.294
0.0,50,0.5,0.0005,0.3417
0.0,50,0.5,0.0014,0.3825
0.0,50,0.5,0.001,0.3433
0.0,50,0.5,0.0008,0.3482
0.0,50,0.5,0.0005,0.3321
0.0,50,0.5,0.0009,0.3581
0.0,50,0.5,0.0007,0.2944
0.0,50,0.5,0.0012,0.3589
0.0,50,0.5,0.0005,0.3209
0.0,50,0.5,0.0007,0.4517
0.0,50,0.5,0.0009,0.4945
0.0,50,0.5,0.0011,0.3212
0.0,50,0.5,0.0015,0.3627
0.0,50,0.5,0.001,0.3331
0.0,50,0.5,0.0006,0.3505
0.0,50,0.5,0.0008,0.3366
0.0,50,0.5,0.0008,0.3416
0.0,50,0.5,0.001,0.3808
0.0,50,0.5,0.0015,0.3061
0.0,50,0.5,0.0008,0.3045
0.0,50,0.5,0.0009,0.3778
0.0,50,0.5,0.0007,0.2754
0.0,50,0.5,0.0004,0.4326
0.0,50,0.5,0.0012,0.321
0.0,50,0.5,0.0015,0.3178
0.0,50,0.5,0.0011,0.2983
0.0,50,0.5,0.0006,0.3474
0.0,50,0.5,0.0015,0.3353
0.0,50,0.5,0.001,0.3979
0.0,50,0.5,0.0013,0.2585
0.0,50,0.5,0.0006,0.423
0.0,50,0.5,0.0006,0.3313
0.0,50,0.5,0.0008,0.3389
0.0,50,0.5,0.0009,0.3184
0.0,50,0.5,0.0006,0.3831
0.0,50,0.5,0.001,0.2981
0.0,50,0.5,0.0007,0.3163
0.0,50,0.5,0.0011,0.4071
0.0,50,0.5,0.0012,0.3393
0.0,50,0.5,0.0013,0.3217
0.0,50,0.5,0.0017,0.3104
0.0,50,0.5,0.0008,0.374
0.0,50,0.5,0.0013,0.3028
0.0,50,0.5,0.0009,0.3601
0.0,50,0.5,0.0012,0.3053
0.0,50,0.5,0.0009,0.2966
