SNR,Window,Prob,MD,FAR
0.0,10,0.5,0.001000180032405833,0.9463903502630473
0.0,20,0.5,0.0010003801444548929,0.8284147976230968
0.0,30,0.5,0.0010005803365952253,0.6271437433711553
0.0,40,0.5,0.0010007806088749224,0.5128199995996877
0.0,50,0.5,0.0010009809613421153,0.3140677864307021
5.0,10,0.5,0.001000180032405833,0.719129443299794
5.0,20,0.5,0.0010003801444548929,0.09255517096496668
5.0,30,0.5,0.0010005803365952253,0.007704468591783234
5.0,40,0.5,0.0010007806088749224,0.0001601248974199876
5.0,50,0.5,0.0010009809613421153,2.0019619226842307e-05
10.0,10,0.5,0.001000180032405833,0.2843911904142746
10.0,20,0.5,0.0010003801444548929,0.0
10.0,30,0.5,0.0010005803365952253,0.0
10.0,40,0.5,0.0010007806088749224,0.0
10.0,50,0.5,0.0010009809613421153,0.0
15.0,10,0.5,0.001000180032405833,0.2440839351083195
15.0,20,0.5,0.0010003801444548929,0.0
15.0,30,0.5,0.0010005803365952253,0.0
15.0,40,0.5,0.0010007806088749224,0.0
15.0,50,0.5,0.0010009809613421153,0.0
