SNR,window,p,MD,FAR
0.0,10,0.4,0.0008001440259246664,0.9562121181812726
0.0,20,0.4,0.0013004941877913607,0.8042256057301774
0.0,30,0.4,0.0007004062356166577,0.5828780692801825
0.0,40,0.4,0.0013610616280698945,0.36202237745441446
0.0,50,0.4,0.000980961342115273,0.22355908790614804
0.0,60,0.4,0.0019022446486854489,0.11948098756532709
0.0,70,0.4,0.0006609120586409245,0.11926458512747591
0.0,80,0.4,0.0009414875503295206,0.09074337453176018
0.0,90,0.4,0.000581034240948889,0.08875798922081304
0.0,100,0.4,0.001743452035029358,0.057253361656079034
