SNR,window,p,MD,FAR
0.0,10,0.5,0.0004400792142585665,0.9829969394491008
0.0,20,0.5,0.0015205778195714371,0.9237710329925372
0.0,30,0.5,0.0005403133817614216,0.8963999119489304
0.0,40,0.5,0.0015812333620223774,0.7793679069674346
0.0,50,0.5,0.0005004904806710577,0.7181838201437408
0.0,60,0.5,0.0011012995334494704,0.6452413848341042
0.0,70,0.5,0.0003004145721095111,0.7099397168091967
0.0,80,0.5,0.0023637347008273074,0.5203822038821337
0.0,90,0.5,0.0007813908757588507,0.44535272785558294
0.0,100,0.5,0.0003406745355804493,0.42295745576240956
5.0,10,0.5,0.0009801764317577163,0.9096637394731052
5.0,20,0.5,0.0008803345271203057,0.5512894900062023
5.0,30,0.5,0.0009605571231314162,0.2286726301254728
5.0,40,0.5,0.0006004683653249535,0.06485058345509498
5.0,50,0.5,0.0006806670537126384,0.045164260975756244
5.0,60,0.5,0.0012414649286157666,0.013315712540798141
5.0,70,0.5,0.0009412989926098016,0.006308706014299734
5.0,80,0.5,0.0005608862001963102,0.0039462350513811825
5.0,90,0.5,0.0005409629139868967,0.004948808879806055
5.0,100,0.5,0.0014428568565760206,0.0013226187851946855
10.0,10,0.5,0.0008001440259246664,0.6353543637854814
10.0,20,0.5,0.0012804865849022629,0.018827154318641084
10.0,30,0.5,0.0004402553481018991,0.0005203017750295172
10.0,40,0.5,0.0016612958107323713,0.0
10.0,50,0.5,0.0004204120037636884,0.0
10.0,60,0.5,0.000520614324903386,0.0
10.0,70,0.5,0.0005207185916564859,0.0
10.0,80,0.5,0.0006410128002243545,0.0
10.0,90,0.5,0.0012221754723407666,0.0
10.0,100,0.5,0.0010420632853049038,0.0
15.0,10,0.5,0.0007801404252765498,0.26518773379208255
15.0,20,0.5,0.0006802584982293271,0.0
15.0,30,0.5,0.0007804526625442757,0.0
15.0,40,0.5,0.0009207181601649287,0.0
15.0,50,0.5,0.0020820403995915997,0.0
15.0,60,0.5,0.0009611341382831742,0.0
15.0,70,0.5,0.0008411608019066311,0.0
15.0,80,0.5,0.0008212976502874542,0.0
15.0,90,0.5,0.000701248221834866,0.0
15.0,100,0.5,0.0012224203923769062,0.0
